path,label
data/Positive/04137.jpg,1
data/Positive/10438_1.jpg,1
data/Negative/00811.jpg,0
data/Negative/11268.jpg,0
data/Positive/08041.jpg,1
data/Negative/14982.jpg,0
data/Positive/10009_1.jpg,1
data/Negative/11861.jpg,0
data/Positive/02047.jpg,1
data/Negative/14036.jpg,0
data/Negative/19156.jpg,0
data/Positive/07496.jpg,1
data/Positive/01734.jpg,1
data/Positive/12449_1.jpg,1
data/Negative/07247.jpg,0
data/Positive/01101.jpg,1
data/Negative/16473.jpg,0
data/Positive/14395_1.jpg,1
data/Negative/01131.jpg,0
data/Negative/06517.jpg,0
data/Negative/08584.jpg,0
data/Positive/04223.jpg,1
data/Positive/07960.jpg,1
data/Positive/09347.jpg,1
data/Positive/17612_1.jpg,1
data/Positive/02716.jpg,1
data/Negative/06358.jpg,0
data/Negative/17754.jpg,0
data/Negative/09828.jpg,0
data/Positive/02594.jpg,1
data/Negative/16950.jpg,0
data/Negative/04029.jpg,0
data/Negative/06203.jpg,0
data/Positive/02822.jpg,1
data/Negative/04905.jpg,0
data/Negative/08124.jpg,0
data/Negative/12762.jpg,0
data/Negative/04448.jpg,0
data/Positive/10321_1.jpg,1
data/Negative/14594.jpg,0
data/Negative/16026.jpg,0
data/Negative/03721.jpg,0
data/Negative/13099.jpg,0
data/Positive/05171.jpg,1
data/Positive/01171.jpg,1
data/Positive/12347_1.jpg,1
data/Positive/05559.jpg,1
data/Positive/03588.jpg,1
data/Negative/01533.jpg,0
data/Positive/11205_1.jpg,1
data/Negative/18268.jpg,0
data/Positive/03737.jpg,1
data/Negative/16945.jpg,0
data/Positive/00019.jpg,1
data/Positive/15138_1.jpg,1
data/Negative/17257.jpg,0
data/Negative/15282.jpg,0
data/Negative/04619.jpg,0
data/Negative/18244.jpg,0
data/Positive/04752.jpg,1
data/Positive/15091_1.jpg,1
data/Positive/17841_1.jpg,1
data/Positive/08781.jpg,1
data/Positive/19941.jpg,1
data/Negative/03520.jpg,0
data/Negative/04582.jpg,0
data/Positive/06847.jpg,1
data/Positive/06376.jpg,1
data/Positive/10080_1.jpg,1
data/Positive/04406.jpg,1
data/Negative/08862.jpg,0
data/Positive/06306.jpg,1
data/Negative/14229.jpg,0
data/Negative/15163.jpg,0
data/Positive/00003.jpg,1
data/Positive/10749_1.jpg,1
data/Negative/05010.jpg,0
data/Positive/04039.jpg,1
data/Positive/02208.jpg,1
data/Negative/14631.jpg,0
data/Positive/18836_1.jpg,1
data/Negative/19611.jpg,0
data/Positive/15581_1.jpg,1
data/Negative/03512.jpg,0
data/Positive/02435.jpg,1
data/Positive/07706.jpg,1
data/Positive/12083_1.jpg,1
data/Positive/12145_1.jpg,1
data/Negative/18645.jpg,0
data/Negative/03031.jpg,0
data/Negative/05116.jpg,0
data/Positive/05067.jpg,1
data/Positive/08805.jpg,1
data/Positive/00601.jpg,1
data/Positive/00061.jpg,1
data/Negative/17178.jpg,0
data/Positive/16751_1.jpg,1
data/Positive/07565.jpg,1
data/Positive/00223.jpg,1
data/Positive/01942.jpg,1
data/Positive/01147.jpg,1
data/Negative/19991.jpg,0
data/Positive/14218_1.jpg,1
data/Negative/02510.jpg,0
data/Positive/16782_1.jpg,1
data/Positive/04110.jpg,1
data/Negative/19093.jpg,0
data/Positive/09744.jpg,1
data/Positive/01323.jpg,1
data/Negative/04607.jpg,0
data/Positive/16241_1.jpg,1
data/Negative/17099.jpg,0
data/Negative/04082.jpg,0
data/Positive/01219.jpg,1
data/Negative/14606.jpg,0
data/Positive/02133.jpg,1
data/Negative/12448.jpg,0
data/Positive/07622.jpg,1
data/Positive/11578_1.jpg,1
data/Negative/06671.jpg,0
data/Negative/02753.jpg,0
data/Negative/03794.jpg,0
data/Positive/05160.jpg,1
